,station_number,month,mean_temp,mean_dew_point,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,rain
0,85120,2,58.099998474121094,50.20000076293945,9.800000190734863,13.800000190734865,16.899999618530273,52.9000015258789,0.20000000298023224,0.0
1,26260,6,56.70000076293945,41.900001525878906,14.199999809265135,2.0,4.099999904632568,37.79999923706055,0.0,0.0
2,172400,7,76.4000015258789,52.79999923706055,18.200000762939453,6.099999904632568,12.0,67.30000305175781,0.0,0.0
3,341520,6,69.09999847412111,57.70000076293945,9.100000381469727,4.599999904632568,9.699999809265137,59.20000076293945,0.0,0.0
4,136290,4,37.5,33.799999237060554,10.899999618530273,4.099999904632568,9.699999809265137,24.29999923706055,0.03999999910593033,0.0
5,348240,8,75.80000305175781,65.5,12.399999618530273,3.5999999046325684,5.800000190734863,68.19999694824217,0.0,0.0
6,308620,4,37.400001525878906,11.0,27.20000076293945,13.800000190734865,23.29999923706055,24.29999923706055,0.0,0.0
7,431920,11,79.69999694824219,69.59999847412111,5.300000190734863,3.0999999046325684,5.099999904632568,72.0,0.0,0.0
8,135620,10,63.70000076293945,53.4000015258789,14.800000190734865,5.800000190734863,9.699999809265137,53.20000076293945,0.0,0.0
9,29240,3,12.800000190734865,3.5,15.5,2.200000047683716,4.099999904632568,6.300000190734863,0.0,0.0
10,309610,4,35.09999847412109,8.5,31.10000038146973,4.099999904632568,9.699999809265137,12.199999809265135,0.0,0.0
11,432790,6,90.4000015258789,75.69999694824219,4.300000190734863,5.5,8.0,86.0,0.0,0.0
12,343570,3,2.5999999046325684,-6.0,6.400000095367432,4.099999904632568,7.800000190734862,-7.400000095367431,0.0,0.0
13,587250,4,61.0,48.70000076293945,6.599999904632568,1.2000000476837158,3.900000095367432,48.599998474121094,0.0,0.0
14,209430,7,45.0,42.29999923706055,13.199999809265135,5.300000190734863,7.800000190734862,40.5,0.0,0.0
15,264770,7,53.5,50.79999923706055,22.899999618530273,3.900000095367432,9.699999809265137,49.29999923706055,0.1599999964237213,0.0
16,72760,2,36.29999923706055,29.5,5.699999809265137,10.199999809265137,14.0,33.799999237060554,0.019999999552965164,0.0
17,873950,8,51.4000015258789,33.59999847412109,9.300000190734863,4.199999809265137,12.0,39.599998474121094,0.0,0.0
18,305540,7,59.599998474121094,49.79999923706055,25.29999923706055,1.899999976158142,5.800000190734863,46.9000015258789,0.20000000298023224,0.0
19,466920,1,54.099998474121094,52.70000076293945,2.799999952316284,4.099999904632568,8.0,49.099998474121094,0.3899999856948853,0.0
20,533910,6,62.79999923706055,41.099998474121094,17.899999618530273,9.0,15.5,51.4000015258789,0.1599999964237213,0.0
21,374720,10,55.9000015258789,50.0,7.800000190734862,4.699999809265137,9.699999809265137,51.79999923706055,0.0,0.0
22,154050,10,46.20000076293945,36.599998474121094,6.199999809265137,7.0,11.699999809265135,36.29999923706055,0.0,0.0
23,122050,10,45.70000076293945,40.20000076293945,10.100000381469727,6.800000190734863,9.699999809265137,38.099998474121094,0.0,0.0
24,304240,10,38.0,35.900001525878906,4.400000095367432,1.0,5.800000190734863,29.79999923706055,0.4699999988079071,0.0
25,325400,12,15.399999618530273,12.899999618530273,5.699999809265137,1.0,3.900000095367432,11.5,0.0,1.0
26,484070,4,86.30000305175781,73.69999694824219,5.400000095367432,1.5,5.099999904632568,75.5999984741211,0.31000000238418574,0.0
27,336580,5,57.599998474121094,46.599998474121094,6.199999809265137,13.600000381469727,23.29999923706055,47.099998474121094,0.0,0.0
28,289000,11,37.900001525878906,34.900001525878906,5.300000190734863,9.0,13.600000381469727,30.899999618530273,0.10000000149011612,0.0
29,154700,4,62.70000076293945,41.0,6.199999809265137,0.20000000298023224,1.899999976158142,43.70000076293945,0.0,0.0
30,164700,4,71.0,49.29999923706055,4.0,10.699999809265137,18.100000381469727,60.79999923706055,0.0,0.0
31,804350,9,80.0,69.90000152587889,8.199999809265137,6.800000190734863,13.600000381469727,73.0,0.0,0.0
32,171150,7,75.30000305175781,69.19999694824217,6.099999904632568,16.600000381469727,22.0,72.69999694824219,0.009999999776482582,0.0
33,74340,11,58.70000076293945,45.9000015258789,11.800000190734865,4.699999809265137,7.0,49.599998474121094,0.0,0.0
34,410300,11,82.4000015258789,66.80000305175781,6.599999904632568,4.099999904632568,8.0,68.0,0.0,0.0
35,152600,2,27.20000076293945,19.899999618530273,7.0,5.800000190734863,15.5,17.200000762939453,0.0,0.0
36,76430,10,57.70000076293945,40.70000076293945,12.5,16.100000381469727,27.0,53.4000015258789,0.019999999552965164,0.0
37,804350,12,75.9000015258789,70.5,7.599999904632568,8.600000381469727,14.0,71.5999984741211,1.5700000524520874,0.0
38,72050,8,67.59999847412111,56.29999923706055,4.599999904632568,11.100000381469727,15.0,61.9000015258789,0.0,0.0
39,768056,12,79.69999694824219,72.0999984741211,7.400000095367431,4.400000095367432,12.800000190734865,70.9000015258789,0.0,0.0
40,170820,6,65.0,55.70000076293945,7.5,8.300000190734863,16.899999618530273,55.4000015258789,0.009999999776482582,0.0
41,986460,9,82.80000305175781,76.19999694824219,8.600000381469727,4.599999904632568,11.800000190734865,77.0,0.0,0.0
42,37150,1,41.0,33.5,8.600000381469727,9.0,15.0,36.29999923706055,0.0,0.0
43,299730,12,6.400000095367432,4.699999809265137,14.0,0.30000001192092896,1.899999976158142,-6.5,0.0,0.0
44,467570,5,66.69999694824217,61.79999923706055,5.599999904632568,4.699999809265137,9.699999809265137,61.9000015258789,0.03999999910593033,0.0
