station_number,month,mean_temp,mean_dew_point,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,rain
85120,2,58.099998474121094,50.200000762939453,9.8000001907348633,13.800000190734863,16.899999618530273,52.900001525878906,0.20000000298023224,false
26260,6,56.700000762939453,41.900001525878906,14.199999809265137,2.0,4.0999999046325684,37.799999237060547,0.0,false
172400,7,76.4000015258789,52.799999237060547,18.200000762939453,6.0999999046325684,12.0,67.300003051757812,0.0,false
341520,6,69.0999984741211,57.700000762939453,9.1000003814697266,4.5999999046325684,9.6999998092651367,59.200000762939453,0.0,false
136290,4,37.5,33.799999237060547,10.899999618530273,4.0999999046325684,9.6999998092651367,24.299999237060547,0.039999999105930328,false
348240,8,75.800003051757812,65.5,12.399999618530273,3.5999999046325684,5.8000001907348633,68.199996948242188,0.0,false
308620,4,37.400001525878906,11.0,27.200000762939453,13.800000190734863,23.299999237060547,24.299999237060547,0.0,false
431920,11,79.699996948242188,69.5999984741211,5.3000001907348633,3.0999999046325684,5.0999999046325684,72.0,0.0,false
135620,10,63.700000762939453,53.400001525878906,14.800000190734863,5.8000001907348633,9.6999998092651367,53.200000762939453,0.0,false
29240,3,12.800000190734863,3.5,15.5,2.2000000476837158,4.0999999046325684,6.3000001907348633,0.0,false
309610,4,35.099998474121094,8.5,31.100000381469727,4.0999999046325684,9.6999998092651367,12.199999809265137,0.0,false
432790,6,90.4000015258789,75.699996948242188,4.3000001907348633,5.5,8.0,86.0,0.0,false
343570,3,2.5999999046325684,-6.0,6.4000000953674316,4.0999999046325684,7.8000001907348633,-7.4000000953674316,0.0,false
587250,4,61.0,48.700000762939453,6.5999999046325684,1.2000000476837158,3.9000000953674316,48.599998474121094,0.0,false
209430,7,45.0,42.299999237060547,13.199999809265137,5.3000001907348633,7.8000001907348633,40.5,0.0,false
264770,7,53.5,50.799999237060547,22.899999618530273,3.9000000953674316,9.6999998092651367,49.299999237060547,0.15999999642372131,false
72760,2,36.299999237060547,29.5,5.6999998092651367,10.199999809265137,14.0,33.799999237060547,0.019999999552965164,false
873950,8,51.400001525878906,33.599998474121094,9.3000001907348633,4.1999998092651367,12.0,39.599998474121094,0.0,false
305540,7,59.599998474121094,49.799999237060547,25.299999237060547,1.8999999761581421,5.8000001907348633,46.900001525878906,0.20000000298023224,false
466920,1,54.099998474121094,52.700000762939453,2.7999999523162842,4.0999999046325684,8.0,49.099998474121094,0.38999998569488525,false
533910,6,62.799999237060547,41.099998474121094,17.899999618530273,9.0,15.5,51.400001525878906,0.15999999642372131,false
374720,10,55.900001525878906,50.0,7.8000001907348633,4.6999998092651367,9.6999998092651367,51.799999237060547,0.0,false
154050,10,46.200000762939453,36.599998474121094,6.1999998092651367,7.0,11.699999809265137,36.299999237060547,0.0,false
122050,10,45.700000762939453,40.200000762939453,10.100000381469727,6.8000001907348633,9.6999998092651367,38.099998474121094,0.0,false
304240,10,38.0,35.900001525878906,4.4000000953674316,1.0,5.8000001907348633,29.799999237060547,0.4699999988079071,false
325400,12,15.399999618530273,12.899999618530273,5.6999998092651367,1.0,3.9000000953674316,11.5,0.0,true
484070,4,86.300003051757812,73.699996948242188,5.4000000953674316,1.5,5.0999999046325684,75.5999984741211,0.31000000238418579,false
336580,5,57.599998474121094,46.599998474121094,6.1999998092651367,13.600000381469727,23.299999237060547,47.099998474121094,0.0,false
289000,11,37.900001525878906,34.900001525878906,5.3000001907348633,9.0,13.600000381469727,30.899999618530273,0.10000000149011612,false
154700,4,62.700000762939453,41.0,6.1999998092651367,0.20000000298023224,1.8999999761581421,43.700000762939453,0.0,false
164700,4,71.0,49.299999237060547,4.0,10.699999809265137,18.100000381469727,60.799999237060547,0.0,false
804350,9,80.0,69.9000015258789,8.1999998092651367,6.8000001907348633,13.600000381469727,73.0,0.0,false
171150,7,75.300003051757812,69.199996948242188,6.0999999046325684,16.600000381469727,22.0,72.699996948242188,0.0099999997764825821,false
74340,11,58.700000762939453,45.900001525878906,11.800000190734863,4.6999998092651367,7.0,49.599998474121094,0.0,false
410300,11,82.4000015258789,66.800003051757812,6.5999999046325684,4.0999999046325684,8.0,68.0,0.0,false
152600,2,27.200000762939453,19.899999618530273,7.0,5.8000001907348633,15.5,17.200000762939453,0.0,false
76430,10,57.700000762939453,40.700000762939453,12.5,16.100000381469727,27.0,53.400001525878906,0.019999999552965164,false
804350,12,75.9000015258789,70.5,7.5999999046325684,8.6000003814697266,14.0,71.5999984741211,1.5700000524520874,false
72050,8,67.5999984741211,56.299999237060547,4.5999999046325684,11.100000381469727,15.0,61.900001525878906,0.0,false
768056,12,79.699996948242188,72.0999984741211,7.4000000953674316,4.4000000953674316,12.800000190734863,70.9000015258789,0.0,false
170820,6,65.0,55.700000762939453,7.5,8.3000001907348633,16.899999618530273,55.400001525878906,0.0099999997764825821,false
986460,9,82.800003051757812,76.199996948242188,8.6000003814697266,4.5999999046325684,11.800000190734863,77.0,0.0,false
37150,1,41.0,33.5,8.6000003814697266,9.0,15.0,36.299999237060547,0.0,false
299730,12,6.4000000953674316,4.6999998092651367,14.0,0.30000001192092896,1.8999999761581421,-6.5,0.0,false
467570,5,66.699996948242188,61.799999237060547,5.5999999046325684,4.6999998092651367,9.6999998092651367,61.900001525878906,0.039999999105930328,false
294560,12,3.5999999046325684,-3.5999999046325684,6.6999998092651367,14.399999618530273,17.5,1.7999999523162842,0.079999998211860657,false
537640,3,23.399999618530273,-3.9000000953674316,13.100000381469727,4.6999998092651367,7.8000001907348633,6.8000001907348633,0.0,false
544360,3,36.200000762939453,13.100000381469727,16.799999237060547,4.4000000953674316,9.6999998092651367,22.600000381469727,0.0,false
585560,7,81.0,76.300003051757812,14.199999809265137,3.0999999046325684,7.8000001907348633,74.699996948242188,0.039999999105930328,false
314180,6,58.200000762939453,49.900001525878906,31.100000381469727,3.0999999046325684,5.8000001907348633,46.0,0.31000000238418579,false
612770,4,93.5999984741211,53.099998474121094,11.5,3.2000000476837158,6.0,78.800003051757812,0.0,false
578320,12,45.799999237060547,40.5,7.1999998092651367,1.1000000238418579,3.9000000953674316,35.799999237060547,0.0,true
353610,5,70.5,44.0,17.200000762939453,11.100000381469727,15.5,58.099998474121094,0.0,false
14770,2,23.899999618530273,22.600000381469727,14.399999618530273,1.7999999523162842,1.8999999761581421,20.5,0.0,true
360210,3,13.100000381469727,11.800000190734863,6.6999998092651367,8.3000001907348633,11.699999809265137,3.2000000476837158,0.0,false
228020,12,25.5,22.299999237060547,3.9000000953674316,6.9000000953674316,11.699999809265137,24.299999237060547,0.070000000298023224,false
523780,4,46.5,-8.6999998092651367,4.3000001907348633,21.899999618530273,35.0,35.400001525878906,0.0,false
351330,9,52.0,50.400001525878906,9.5,6.4000000953674316,7.8000001907348633,47.299999237060547,0.2800000011920929,false
215040,3,-8.1000003814697266,-12.600000381469727,10.699999809265137,15.800000190734863,19.399999618530273,-11.699999809265137,0.0,false
983280,5,67.0999984741211,64.0999984741211,6.6999998092651367,2.7999999523162842,5.8000001907348633,60.400001525878906,0.50999999046325684,true
577450,10,52.799999237060547,51.200000762939453,4.9000000953674316,2.2000000476837158,3.9000000953674316,49.799999237060547,0.34999999403953552,false
285520,1,-9.0,-12.5,2.2000000476837158,2.2000000476837158,3.9000000953674316,-16.799999237060547,0.0,false
215040,4,-7.3000001907348633,-11.899999618530273,13.199999809265137,14.199999809265137,25.299999237060547,-20.700000762939453,0.0,false
80270,8,64.5,63.700000762939453,1.7000000476837158,9.8999996185302734,15.0,59.0,1.2599999904632568,true
306320,2,-2.7999999523162842,-6.5,14.0,3.2999999523162842,7.8000001907348633,-7.5999999046325684,0.0,false
703860,3,42.400001525878906,40.299999237060547,5.5,4.3000001907348633,6.0,39.900001525878906,0.38999998569488525,true
302630,3,11.100000381469727,0.10000000149011612,31.100000381469727,3.5999999046325684,5.8000001907348633,-4.5,0.0,false
377350,9,71.0999984741211,61.799999237060547,11.699999809265137,2.2999999523162842,3.9000000953674316,61.0,0.0,false
353940,11,22.200000762939453,11.699999809265137,28.399999618530273,7.8000001907348633,15.5,12.399999618530273,0.0,false
10530,2,40.099998474121094,29.600000381469727,11.5,16.100000381469727,22.0,34.900001525878906,0.0,false
30280,8,56.400001525878906,50.5,29.299999237060547,1.7000000476837158,1.8999999761581421,50.700000762939453,0.0,false
245850,6,53.5,38.700000762939453,25.700000762939453,3.2999999523162842,9.6999998092651367,42.299999237060547,0.0,false
314390,12,3.0999999046325684,-0.699999988079071,31.100000381469727,1.3999999761581421,3.9000000953674316,-10.5,0.0,false
594310,2,45.599998474121094,43.0,11.899999618530273,1.7000000476837158,3.9000000953674316,43.299999237060547,0.079999998211860657,false
610990,12,78.0,41.099998474121094,5.3000001907348633,0.30000001192092896,1.8999999761581421,66.199996948242188,0.0,false
594560,2,48.900001525878906,31.700000762939453,15.699999809265137,8.3000001907348633,11.699999809265137,40.5,0.0,false
569690,12,63.599998474121094,57.5,7.0999999046325684,0.800000011920929,1.8999999761581421,53.099998474121094,0.0,true
919440,12,80.699996948242188,70.9000015258789,15.100000381469727,8.8000001907348633,12.0,75.4000015258789,0.0,false
619760,5,77.0999984741211,73.199996948242188,8.6000003814697266,17.5,18.100000381469727,69.800003051757812,0.11999999731779099,false
623060,7,79.5,70.5,5.0,14.699999809265137,20.0,73.800003051757812,0.0,false
577930,12,52.700000762939453,41.799999237060547,6.0999999046325684,3.0999999046325684,5.8000001907348633,38.299999237060547,0.0,false
670950,2,79.300003051757812,74.300003051757812,12.399999618530273,4.0,12.0,72.9000015258789,1.0199999809265137,false
114060,7,54.200000762939453,47.700000762939453,8.3000001907348633,5.8000001907348633,9.6999998092651367,49.799999237060547,0.0,false
248430,1,-35.200000762939453,-40.200000762939453,22.200000762939453,0.800000011920929,3.9000000953674316,-47.200000762939453,0.0099999997764825821,false
249180,8,56.200000762939453,54.099998474121094,12.399999618530273,6.6999998092651367,9.6999998092651367,46.900001525878906,0.079999998211860657,false
318320,9,58.0,50.799999237060547,16.100000381469727,1.7000000476837158,3.9000000953674316,47.5,0.0,true
572900,8,82.300003051757812,76.800003051757812,9.5,4.1999998092651367,5.8000001907348633,73.4000015258789,0.0,false
246520,11,-20.0,-24.600000381469727,5.8000001907348633,7.1999998092651367,11.699999809265137,-38.0,0.0,false
387500,12,32.299999237060547,24.799999237060547,6.1999998092651367,4.9000000953674316,5.8000001907348633,25.0,0.0,false
236060,9,39.200000762939453,38.099998474121094,7.0999999046325684,4.6999998092651367,9.6999998092651367,34.900001525878906,0.23999999463558197,true
568380,6,77.199996948242188,71.0999984741211,15.800000190734863,1.1000000238418579,5.8000001907348633,71.5999984741211,0.0,false
915550,10,79.5999984741211,71.9000015258789,16.0,8.3999996185302734,9.8999996185302734,75.199996948242188,0.0,false
344090,3,34.400001525878906,26.299999237060547,6.1999998092651367,0.30000001192092896,1.8999999761581421,32.0,0.0,false
549450,4,51.900001525878906,43.299999237060547,8.1999998092651367,2.7999999523162842,3.9000000953674316,44.099998474121094,0.0,false
510870,10,37.0,18.100000381469727,18.600000381469727,1.7000000476837158,7.8000001907348633,21.399999618530273,0.0,false
476040,4,42.0,28.899999618530273,11.5,11.600000381469727,19.0,36.900001525878906,0.079999998211860657,false
348580,12,13.0,8.6999998092651367,9.1000003814697266,8.6000003814697266,11.699999809265137,7.5,0.0,false
